;Albania ;Andorra ;Armenia ;Austria;Azerbaijan ;Belarus ;Belgium ;Bosnia and Herzegovina ;Bulgaria ;Croatia ;Cyprus ;Czech Republic ;Denmark ;Estonia ;Finland ;France ;Georgia;Germany ;Greece ;Hungary ;Iceland ;Ireland ;Israel ;Latvia ;Lithuania ;Macedonia ;Malta ;Moldova ;Monaco;Montenegro ;Netherlands ;Norway ;Poland ;Portugal ;Romania ;Russia ;San Marino;Serbia ;Serbia & Montenegro;Slovakia ;Slovenia ;Spain ;Sweden ;Switzerland ;Turkey ;Ukraine ;United Kingdom 
Albania ;nan;nan;5,00E+17;0.000000000000000000e+00;2,00E+18;2,00E+18;0.000000000000000000e+00;5,83E+18;0.000000000000000000e+00;4,00E+17;3,50E+18;nan;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;1,33E+18;0.000000000000000000e+00;2,67E+18;1,05E+19;0.000000000000000000e+00;2,00E+18;1,67E+18;1,75E+18;0.000000000000000000e+00;0.000000000000000000e+00;5,50E+18;2,00E+18;0.000000000000000000e+00;nan;nan;0.000000000000000000e+00;2,80E+18;0.000000000000000000e+00;0.000000000000000000e+00;8,33E+17;1,67E+18;nan;3,00E+18;6,50E+18;nan;0.000000000000000000e+00;3,17E+18;3,00E+18;0.000000000000000000e+00;8,83E+18;2,17E+18;1,33E+18
Andorra ;0.000000000000000000e+00;nan;0.000000000000000000e+00;0.000000000000000000e+00;3,50E+18;0.000000000000000000e+00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;2,00E+18;nan;2,00E+18;0.000000000000000000e+00;5,25E+18;4,33E+18;0.000000000000000000e+00;8,33E+17;3,50E+18;6,00E+18;2,67E+18;1,33E+18;3,75E+18;3,00E+18;2,67E+18;0.000000000000000000e+00;1,75E+18;1,00E+18;nan;nan;0.000000000000000000e+00;2,60E+18;0.000000000000000000e+00;8,00E+18;3,67E+18;2,33E+18;nan;0.000000000000000000e+00;1,00E+18;nan;0.000000000000000000e+00;1,00E+19;2,83E+18;5,00E+17;5,00E+17;5,50E+18;1,00E+18
Armenia ;0.000000000000000000e+00;nan;nan;nan;5,00E+17;1,00E+19;nan;1,50E+18;4,00E+18;6,67E+17;nan;nan;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;3,50E+18;7,50E+18;0.000000000000000000e+00;8,50E+18;0.000000000000000000e+00;2,50E+18;1,50E+18;2,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;3,50E+18;0.000000000000000000e+00;1,67E+18;nan;nan;nan;5,33E+18;0.000000000000000000e+00;0.000000000000000000e+00;7,50E+17;1,20E+19;nan;5,00E+18;nan;nan;0.000000000000000000e+00;2,50E+17;1,50E+18;0.000000000000000000e+00;1,00E+18;6,00E+18;1,75E+18
Austria;4,00E+18;nan;5,00E+18;nan;nan;0.000000000000000000e+00;8,00E+17;8,50E+18;6,00E+18;6,00E+18;1,00E+18;nan;3,75E+18;2,25E+18;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;5,86E+18;1,20E+18;1,00E+18;5,00E+17;8,00E+17;4,00E+17;3,60E+18;0.000000000000000000e+00;2,00E+17;3,67E+18;1,00E+18;nan;nan;1,00E+18;4,00E+17;3,33E+18;0.000000000000000000e+00;2,50E+18;2,50E+18;nan;1,20E+19;1,20E+19;nan;5,00E+17;0.000000000000000000e+00;2,00E+18;2,00E+18;6,00E+18;2,00E+18;1,71E+18
Azerbaijan ;5,00E+17;nan;0.000000000000000000e+00;nan;nan;nan;nan;2,50E+18;nan;2,50E+18;nan;nan;0.000000000000000000e+00;4,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;4,00E+18;0.000000000000000000e+00;3,00E+18;nan;0.000000000000000000e+00;nan;3,50E+18;0.000000000000000000e+00;1,00E+18;nan;0.000000000000000000e+00;7,00E+18;nan;nan;nan;6,50E+18;0.000000000000000000e+00;0.000000000000000000e+00;1,50E+18;7,00E+18;nan;2,00E+18;nan;nan;nan;0.000000000000000000e+00;0.000000000000000000e+00;nan;1,20E+19;1,00E+19;0.000000000000000000e+00
Belarus ;0.000000000000000000e+00;nan;5,25E+18;0.000000000000000000e+00;9,00E+18;nan;0.000000000000000000e+00;6,67E+17;0.000000000000000000e+00;1,00E+18;4,00E+18;nan;0.000000000000000000e+00;4,00E+18;2,00E+18;1,17E+18;6,00E+18;0.000000000000000000e+00;3,00E+18;1,00E+18;6,67E+17;0.000000000000000000e+00;3,00E+18;1,50E+18;2,67E+18;0.000000000000000000e+00;1,25E+18;3,25E+18;nan;nan;0.000000000000000000e+00;4,40E+18;0.000000000000000000e+00;0.000000000000000000e+00;6,67E+17;1,13E+19;nan;4,00E+18;5,00E+18;nan;4,00E+18;3,33E+17;1,50E+18;5,00E+18;1,00E+18;7,67E+18;6,67E+17
Belgium ;2,50E+17;nan;1,03E+19;2,60E+18;5,00E+18;0.000000000000000000e+00;nan;7,78E+17;4,00E+18;1,00E+18;1,29E+18;nan;2,00E+18;1,67E+18;1,14E+18;1,91E+18;3,00E+18;2,36E+18;5,67E+18;2,33E+18;1,83E+18;7,14E+17;3,78E+18;3,57E+18;8,00E+17;0.000000000000000000e+00;2,67E+18;1,25E+18;nan;nan;9,20E+18;2,78E+18;1,00E+18;2,60E+18;1,70E+18;2,22E+18;nan;3,50E+18;1,50E+18;0.000000000000000000e+00;8,00E+17;3,55E+18;2,18E+18;0.000000000000000000e+00;7,09E+18;1,00E+18;1,09E+18
Bosnia and Herzegovina ;2,50E+18;nan;1,50E+18;1,25E+18;1,50E+18;4,00E+18;2,50E+18;nan;6,00E+18;8,78E+18;0.000000000000000000e+00;nan;0.000000000000000000e+00;3,40E+18;2,00E+18;3,40E+18;5,00E+17;1,50E+18;3,89E+18;5,00E+17;0.000000000000000000e+00;0.000000000000000000e+00;2,63E+18;7,14E+17;3,33E+17;6,20E+18;1,63E+18;1,00E+18;nan;nan;1,50E+18;1,88E+18;1,20E+18;2,00E+17;1,38E+18;1,67E+18;nan;1,20E+19;1,10E+19;nan;5,40E+18;1,10E+18;3,30E+18;1,33E+18;6,20E+18;2,71E+18;1,20E+18
Bulgaria ;0.000000000000000000e+00;nan;7,50E+18;nan;5,50E+18;1,00E+18;nan;2,20E+18;nan;5,00E+17;1,00E+19;nan;0.000000000000000000e+00;0.000000000000000000e+00;2,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,40E+18;1,16E+19;2,50E+18;2,50E+18;0.000000000000000000e+00;5,00E+17;0.000000000000000000e+00;6,67E+17;7,67E+18;0.000000000000000000e+00;2,50E+18;nan;nan;nan;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,40E+18;4,20E+18;nan;5,00E+18;4,00E+18;nan;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;5,80E+18;2,60E+18;1,40E+18
Croatia ;5,25E+18;nan;0.000000000000000000e+00;1,00E+18;5,00E+18;0.000000000000000000e+00;6,67E+17;1,01E+19;6,00E+18;nan;3,00E+18;nan;1,50E+18;2,71E+18;1,43E+18;5,00E+17;1,00E+18;5,00E+17;3,00E+18;3,33E+18;1,14E+18;1,63E+18;1,00E+18;1,75E+18;1,33E+18;7,00E+18;3,90E+18;1,00E+18;nan;nan;2,00E+18;1,60E+18;0.000000000000000000e+00;5,00E+17;1,50E+18;4,00E+18;nan;1,10E+19;1,20E+19;8,00E+18;6,83E+18;1,25E+18;7,50E+17;6,00E+17;2,42E+18;3,43E+18;2,42E+18
